Timestamp,People_Crossing,People_In_Crosswalk_Now,Avg_People_Velocity_Crossing_pixels/sec,People_Waiting,People_In_Waiting_Now,Avg_People_Velocity_Waiting_pixels/sec,Vehicles,Avg_Vehicle_Velocity_pixels/sec,Queued_Vehicles,Label
56:59.7,6,6,50.58679384,6,6,50.58679384,9,91.56611096,1,green
57:00.0,6,6,59.75700337,6,6,59.75700337,9,79.77026158,1,green
57:00.2,6,6,28.99826738,6,6,28.99826738,7,87.8286449,0,green
57:00.4,6,6,57.58925215,6,6,57.58925215,8,93.38856156,0,green
57:00.7,6,6,54.07837813,6,6,54.07837813,8,70.62041701,0,green
57:00.9,5,5,64.61755933,5,5,64.61755933,9,136.3843672,0,green
57:01.2,5,5,34.62373439,5,5,34.62373439,9,105.0457183,0,green
57:01.4,6,6,63.19316114,6,6,63.19316114,9,100.2839295,0,green
57:01.7,6,6,49.50107524,6,6,49.50107524,9,109.4502347,0,green
57:01.9,6,6,89.14821667,6,6,89.14821667,9,109.2007269,2,green
57:02.2,6,6,76.36314703,6,6,76.36314703,8,98.87084576,0,green
57:02.4,6,6,83.42818597,6,6,83.42818597,8,83.6618452,0,green
57:02.7,6,6,92.82310522,6,6,92.82310522,7,78.43158676,1,green
57:02.9,6,6,68.94137989,6,6,68.94137989,7,75.06641562,0,green
57:03.1,6,6,84.720526,6,6,84.720526,8,84.30208214,0,green
57:03.3,6,6,78.34744334,6,6,78.34744334,8,85.87051498,1,green
57:03.5,6,6,106.7950297,6,6,106.7950297,8,92.28483589,0,green
57:03.8,6,6,101.4921016,6,6,101.4921016,9,95.24104765,0,green
57:04.0,6,6,79.35052893,6,6,79.35052893,9,125.4246262,0,green
57:04.3,7,7,101.8541753,7,7,101.8541753,9,108.749616,0,green
57:04.5,7,7,87.2170636,7,7,87.2170636,10,129.0386268,0,green
57:04.7,6,6,139.6625298,6,6,139.6625298,9,134.084641,0,green
57:05.0,6,6,155.1040302,6,6,155.1040302,9,129.5134628,0,green
57:05.2,6,6,137.9867271,6,6,137.9867271,9,95.34363886,0,green
57:05.5,6,6,163.4968152,6,6,163.4968152,8,72.74471595,1,green
57:05.7,7,7,114.7935079,7,7,114.7935079,8,110.1217431,1,green
57:05.9,6,6,99.61953708,6,6,99.61953708,8,125.5876313,1,green
57:06.2,5,5,51.33290853,5,5,51.33290853,8,102.435408,1,green
57:06.4,5,5,46.24862518,5,5,46.24862518,9,121.9273875,0,green
57:06.6,5,5,71.79450724,5,5,71.79450724,8,66.21913239,0,green
57:06.9,5,5,84.71856663,5,5,84.71856663,7,108.451859,0,green
57:07.1,5,5,36.06252352,5,5,36.06252352,8,100.8169148,1,green
57:07.3,5,5,78.69275357,5,5,78.69275357,8,121.0368831,0,green
57:07.6,5,5,46.45473176,5,5,46.45473176,8,120.3182596,0,green
57:07.8,5,5,97.59361999,5,5,97.59361999,6,91.22968948,0,green
57:08.0,5,5,58.54780931,5,5,58.54780931,6,102.8292525,0,green
57:08.3,5,5,61.00415795,5,5,61.00415795,6,100.1000516,0,green
57:08.5,5,5,60.84733731,5,5,60.84733731,6,116.5137381,0,green
57:08.7,5,5,70.16123128,5,5,70.16123128,6,194.6439678,0,green
57:09.0,5,5,79.37391238,5,5,79.37391238,6,122.8545948,1,green
57:09.2,5,5,67.28882509,5,5,67.28882509,6,106.2344365,0,green
57:09.4,5,5,85.91837581,5,5,85.91837581,6,109.9278407,0,green
57:09.6,5,5,92.30562317,5,5,92.30562317,6,106.3477554,0,green
57:09.8,4,4,115.2745052,4,4,115.2745052,7,132.398108,0,green
57:10.1,4,4,111.3012076,4,4,111.3012076,7,135.6753504,0,green
57:10.3,4,4,118.0222978,4,4,118.0222978,5,142.5328494,0,green
57:10.6,4,4,123.4377226,4,4,123.4377226,6,111.3869752,0,green
57:10.8,3,3,176.3160249,3,3,176.3160249,5,99.38472343,0,green
57:11.0,3,3,153.0859882,3,3,153.0859882,5,133.4918909,0,green
57:11.3,3,3,115.8760531,3,3,115.8760531,5,139.7765155,0,green
57:11.5,3,3,18.43192147,3,3,18.43192147,6,127.3354882,0,green
57:11.7,2,2,26.92344604,2,2,26.92344604,7,159.2006881,0,green
57:11.9,2,2,21.81389723,2,2,21.81389723,7,124.0529668,0,green
57:12.2,3,3,13.67473455,3,3,13.67473455,7,147.3989603,0,green
57:12.4,3,3,11.54156694,3,3,11.54156694,6,89.82918253,0,green
57:12.6,3,3,22.14659933,3,3,22.14659933,6,99.77883855,0,green
57:12.9,3,3,12.09396203,3,3,12.09396203,6,97.57459836,1,green
57:13.1,3,3,13.48353249,3,3,13.48353249,5,116.2272736,0,green
57:13.3,3,3,12.18974976,3,3,12.18974976,4,78.45780373,1,green
57:13.6,3,3,8.546038959,3,3,8.546038959,5,84.56696963,0,green
57:13.8,3,3,18.6073378,3,3,18.6073378,5,78.19612536,0,green
57:14.0,2,2,7.050870343,2,2,7.050870343,5,74.19511834,0,green
57:14.2,2,2,10.01792388,2,2,10.01792388,6,97.44874189,0,green
57:14.4,2,2,11.13042639,2,2,11.13042639,6,99.09520985,0,green
57:14.7,2,2,16.19000907,2,2,16.19000907,7,91.44529747,0,green
57:14.9,2,2,14.80319482,2,2,14.80319482,7,73.07545675,0,green
57:15.1,2,2,8.706490265,2,2,8.706490265,7,86.9105912,0,green
57:15.3,2,2,11.41164527,2,2,11.41164527,6,48.56054587,1,green
57:15.5,2,2,8.018492278,2,2,8.018492278,6,220.462148,1,green
57:15.7,2,2,8.227590627,2,2,8.227590627,5,109.0822025,0,green
57:15.9,2,2,12.42358327,2,2,12.42358327,5,100.0273945,0,green
57:16.1,2,2,9.821665859,2,2,9.821665859,5,55.7834676,0,green
57:16.4,2,2,4.378650038,2,2,4.378650038,6,51.74928386,0,green
57:16.6,2,2,7.40186689,2,2,7.40186689,5,49.22133801,0,green
57:16.8,2,2,14.31927708,2,2,14.31927708,7,26.80917884,0,green
57:17.0,2,2,14.36126754,2,2,14.36126754,7,54.55058467,1,green
57:17.2,2,2,8.798549074,2,2,8.798549074,6,42.02772427,0,green
57:17.4,2,2,6.153397621,2,2,6.153397621,6,69.7114928,0,green
57:17.6,2,2,14.43658219,2,2,14.43658219,6,55.60065701,0,green
57:17.9,2,2,18.30158999,2,2,18.30158999,7,53.08362189,0,green
57:18.1,2,2,30.44028853,2,2,30.44028853,7,75.21248276,0,green
57:18.3,2,2,23.00307387,2,2,23.00307387,6,66.17888212,0,green
57:18.5,2,2,24.10162489,2,2,24.10162489,6,60.2663973,0,green
57:18.7,2,2,33.72726989,2,2,33.72726989,5,32.03629264,0,green
57:19.0,2,2,34.38766695,2,2,34.38766695,4,42.68070043,0,green
57:19.2,2,2,36.77416128,2,2,36.77416128,5,73.71534734,0,green
57:19.4,2,2,33.27215337,2,2,33.27215337,6,161.5329076,1,green
57:19.6,2,2,30.81823982,2,2,30.81823982,6,99.16095933,0,green
57:19.8,2,2,18.44234841,2,2,18.44234841,7,92.84932402,0,green
57:20.0,2,2,17.88985229,2,2,17.88985229,7,93.69766164,0,green
57:20.2,2,2,14.81331124,2,2,14.81331124,7,94.69135078,0,red
57:20.5,2,2,18.94615304,2,2,18.94615304,5,77.17091805,0,red
57:20.7,2,2,29.45848263,2,2,29.45848263,5,76.78925764,0,red
57:20.9,2,2,18.81234156,2,2,18.81234156,5,74.51767733,0,red
57:21.1,2,2,19.54419237,2,2,19.54419237,5,79.1382768,0,red
57:21.3,2,2,44.39543922,2,2,44.39543922,5,74.12522283,0,red
57:21.6,2,2,40.43009725,2,2,40.43009725,5,90.49534595,0,red
57:21.8,2,2,49.39484589,2,2,49.39484589,4,72.23714694,0,red
57:22.0,2,2,41.70710351,2,2,41.70710351,4,54.68282751,1,red
57:22.2,2,2,34.96134947,2,2,34.96134947,4,55.61090514,0,red
57:22.4,2,2,40.33264706,2,2,40.33264706,4,64.34691772,0,red
57:22.6,2,2,57.76169127,2,2,57.76169127,4,68.81144994,0,red
57:22.9,2,2,55.42513535,2,2,55.42513535,4,79.01096597,0,red
57:23.1,2,2,37.44737296,2,2,37.44737296,4,69.09675354,0,red
57:23.3,2,2,53.15976135,2,2,53.15976135,4,65.52537693,1,red
57:23.5,2,2,52.42767198,2,2,52.42767198,4,142.4762489,0,red
57:23.8,2,2,44.71344022,2,2,44.71344022,5,73.30422963,0,red
57:24.0,2,2,23.0273415,2,2,23.0273415,5,61.59294282,0,red
57:24.2,2,2,21.67299098,2,2,21.67299098,6,98.20225109,0,red
57:24.4,2,2,72.68187522,2,2,72.68187522,5,129.5704831,0,red
57:24.6,2,2,65.23723823,2,2,65.23723823,4,115.6025943,0,red
57:24.8,2,2,47.20142108,2,2,47.20142108,4,81.79809442,0,red
57:25.0,2,2,93.95662606,2,2,93.95662606,5,116.2714168,0,red
57:25.3,2,2,79.44821539,2,2,79.44821539,5,125.7948261,0,red
57:25.5,2,2,53.23576284,2,2,53.23576284,6,235.6448753,0,red
57:25.7,2,2,93.38412674,2,2,93.38412674,6,93.73015241,0,red
57:25.9,2,2,83.29219977,2,2,83.29219977,5,59.93100373,0,red
57:26.2,2,2,54.92518872,2,2,54.92518872,5,52.09329432,0,red
57:26.4,2,2,8.479586332,2,2,8.479586332,5,34.15421786,0,red
57:26.6,2,2,27.54755565,2,2,27.54755565,6,70.31087291,1,red
57:26.8,2,2,58.56292428,2,2,58.56292428,7,76.92830462,0,red
57:27.0,2,2,28.06137826,2,2,28.06137826,7,71.90188863,0,red
57:27.2,2,2,40.53646262,2,2,40.53646262,6,53.91224158,0,red
57:27.4,3,3,49.90154251,3,3,49.90154251,7,128.7866502,0,red
57:27.7,3,3,34.61828596,3,3,34.61828596,5,62.11959203,0,red
57:27.9,3,3,82.0569797,3,3,82.0569797,5,71.23374638,0,red
57:28.1,3,3,74.33601983,3,3,74.33601983,5,65.05536333,0,red
57:28.3,3,3,49.55718308,3,3,49.55718308,6,64.65908936,1,red
57:28.5,3,3,31.85869225,3,3,31.85869225,6,71.86571785,0,red
57:28.7,3,3,35.1414988,3,3,35.1414988,6,80.47831147,0,red
57:29.0,3,3,43.15277861,3,3,43.15277861,6,92.28658868,0,red
57:29.2,3,3,47.05195982,3,3,47.05195982,5,124.2383972,0,red
57:29.4,3,3,39.41735372,3,3,39.41735372,4,22.91607591,0,red
57:29.6,3,3,37.06985043,3,3,37.06985043,4,23.21648037,0,red
57:29.8,3,3,39.87561378,3,3,39.87561378,4,29.72808954,0,red
57:30.0,3,3,76.00446219,3,3,76.00446219,4,46.9656399,0,red
57:30.2,3,3,56.27975372,3,3,56.27975372,4,42.8607025,0,red
57:30.4,3,3,34.35398514,3,3,34.35398514,4,24.28770739,0,red
57:30.7,3,3,47.91809701,3,3,47.91809701,4,48.01407022,0,red
57:30.9,3,3,70.65469531,3,3,70.65469531,5,62.42680229,0,red
57:31.1,3,3,20.93075734,3,3,20.93075734,5,29.05564479,0,red
57:31.3,3,3,55.26890551,3,3,55.26890551,5,21.70282263,0,red
57:31.5,3,3,62.69614706,3,3,62.69614706,4,31.97616748,0,red
57:31.7,3,3,48.72118763,3,3,48.72118763,4,21.56800298,0,red
57:32.0,3,3,29.11457557,3,3,29.11457557,5,21.83412015,0,red
57:32.2,3,3,36.00958975,3,3,36.00958975,5,46.82180926,0,red
